アイテムID,日本語アイテム名
2365,ミリシアファイル
2366,ウェザードドーミングハンマー
2367,ドーミングハンマー
2368,アマチュアドーミングハンマー
2369,レイジングハンマー
2370,アイアンドーミングハンマー
2371,イニシエートドーミングハンマー
2372,アイアンレイジングハンマー
2373,ラップドレイジングハンマー
2374,スチールドーミングハンマー
2375,スチールレイジングハンマー
2376,コバルトドーミングハンマー
2377,コバルトレイジングハンマー
2380,アマチュアプライヤー
2381,プライヤー
2382,リクルートプライヤー
2383,アイアンプライヤー
2384,イニシエートプライヤー
2385,ノービスプライヤー
2386,スチールプライヤー
2387,アプレンティスプライヤー
2388,ミスリルプライヤー
2389,コバルトプライヤー
2390,ミリシアプライヤー
2391,ウェザードチェーサーハンマー
2392,チェーサーハンマー
2393,アマチュアチェーサーハンマー
2394,オーナメンタルハンマー
2395,アイアンチェーサーハンマー
2396,イニシエートチェーサーハンマー
2397,アイアンオーナメンタルハンマー
2398,スチールチェーサーハンマー
2399,スチールオーナメンタルハンマー
2400,ミスリルオーナメンタルハンマー
2401,ミスリルラピダリーハンマー
2402,エレクトラムラピダリーハンマー
2405,アマチュアグラインディングホイール
2406,ラググラインディングホイール
2407,リクルートグラインディングホイール
2408,グラインディングホイール
2409,イニシエートグラインディングホイール
2410,ノービスグラインディングホイール
2411,シルトグラインディングホイール
2412,アプレンティスグラインディングホイール
2413,ガーネットグラインディングホイール
2414,バジリスクグラインディングホイール
2415,ミリシアグラインディングホイール
2416,ウェザードヘッドナイフ
2417,ヘッドナイフ
2418,アマチュアヘッドナイフ
2419,ブラスヘッドナイフ
2420,イニシエートヘッドナイフ
2421,ラウンドナイフ
2422,アイアンヘッドナイフ
2423,シルバーヘッドナイフ
2424,スチールラウンドナイフ
2425,ミスリルヘッドナイフ
2426,ミスリルラウンドナイフ
2427,エレクトラムヘッドナイフ
2430,アマチュアアウル
2431,アウル
2432,リクルートアウル
2433,アイアンアウル
2434,イニシエートアウル
2435,ノービスアウル
2436,スチールアウル
2437,ラップドスチールアウル
2438,アプレンティスアウル
2439,ミスリルアウル
2440,コバルトアウル
2441,ミリシアアウル
2442,ウェザードニードル
2443,ニードル
2444,バットニードル
2445,アマチュアニードル
2446,ブラスニードル
2447,イニシエートニードル
2448,シルバーニードル
2449,ウォームファングニードル
2450,ミスリルニードル
2451,ウルフファングニードル
2452,サウザンドニードル
2453,エレクトラムニードル
2456,アマチュアスピニングホイール
2457,スピニングホイール
2458,リクルートスピニングホイール
2459,イニシエートスピニングホイール
2460,エルムスピニングホイール
2461,ノービススピニングホイール
2462,ウォルナットスピニングホイール
2463,アプレンティススピニングホイール
2464,マホガニースピニングホイール
2465,ローズウッド・スピニングホイール
2466,ミリシアスピニングホイール
2467,ウェザードアレンビック
2468,アレンビック
2469,アマチュアアレンビック
2470,ブラスアレンビック
2471,イニシエートアレンビック
2472,アイアンアレンビック
2473,コニカルアレンビック
2474,スチールアレンビック
2475,シルバーアレンビック
2476,ミスリルアレンビック
2477,エレクトラムアレンビック
2478,サーマルアレンビック
2481,アマチュアモーター
2482,モーター
2483,リクルートモーター
2484,アイアンモーター
2485,イニシエートモーター
2486,ノービスモーター
2487,スチールモーター
2488,スチールモーターDX
2489,アプレンティスモーター
2490,ミスリルモーター
2491,コバルトモーター
2492,ミリシアモーター
2493,ウェザードスキレット
2494,スキレット
2495,アマチュアスキレット
2496,アイアンスキレット
2497,イニシエートスキレット
2498,フライパン
2499,ボムフライパン
2500,スチールスキレット
2501,ホワイトスキレット
2502,スチールフライパン
2503,コバルトスキレット
2504,イフリートフライパン
2507,アマチュアクリナリーナイフ
2508,クリナリーナイフ
2509,リクルートクリナリーナイフ
2510,アイアンクリナリーナイフ
2511,イニシエートクリナリーナイフ
2512,ノービスクリナリーナイフ
2513,スチールクリナリーナイフ
2514,スチールクリナリーナイフDX
2515,アプレンティスクリナリーナイフ
2516,ミスリルクリナリーナイフ
2517,コバルトクリナリーナイフ
2518,ミリシアクリナリーナイフ
2519,ウェザードピック
2520,ピック
2521,アマチュアピック
2522,プルームドピック
2523,アイアンピック
2524,イニシエートピック
2525,ドラブラ
2526,スチールピック
2527,スチールドラブラ
2528,プルームドミスリルピック
2529,コバルトドラブラ
2530,イーグレットドラブラ
2533,ウェザードモール
2534,モール
2535,リクルートモール
2536,イニシエートモール
2537,アイアンモール
2538,ノービスモール
2539,スチールモール
2540,ラップドスチールモール
2541,アプレンティスモール
2542,ミスリルモール
2543,コバルトモール
2544,ミリシアモール
2545,ウェザードハチェット
2546,ハチェット
2547,アマチュアハチェット
2548,アイアンハチェット
2549,イニシエートハチェット
2550,ブラスハチェット
2551,チョコボハチェット
2552,スチールハチェット
2553,スチールチョコボハチェット
2554,ミスリルハチェット
2555,コバルトハチェット
2556,ホーンドハチェット
2559,ウェザードサイズ
2560,サイズ
2561,リクルートサイズ
2562,アイアンサイズ
2563,イニシエートサイズ
2564,ノービスサイズ
2565,スチールサイズ
2566,ラップドスチールサイズ
2567,アプレンティスサイズ
2568,ミスリルサイズ
2569,コバルトサイズ
2570,ミリシアサイズ
2571,ウェザードフィッシングロッド
2572,フィッシングロッド
2573,アマチュアフィッシングロッド
2574,エルムフィッシングロッド
2575,イニシエートフィッシングロッド
2576,ユーフィッシングロッド
2577,スタッグホーン・フィッシングロッド
2578,ウォルナットフィッシングロッド
2579,ホーンフィッシングロッド
2580,マホガニーフィッシングロッド
2581,ローズフィッシングロッド
2582,ローズフィッシングロッドDX
2585,ラグワーム
2586,モスプパ
2587,ピルバグ
2588,ザリガニボール
2589,ゴビーボール
2590,ブラッドワーム
2591,ラットの尾
2592,ユスリカ
2593,クラブボール
2594,バターワーム
2595,バスボール
2596,スプーンワーム
2597,ハナアブ
2598,ヘリングボール
2599,ハニーワーム
2600,サンドリーチ
2601,テッポウムシ
2602,サンドゲッコー
2603,グロウワーム
2604,ローリングストーン
2605,ホバーワーム
2606,ポーラークリル
2607,カディスラーヴァ
2608,ソイルクリーパー
2609,バルーンバグ
2610,チョコボフライ
2611,フローティングミノー
2612,ブラススプーン
2613,シュリンプフィーダー
2614,クロウフライ
2615,シルバースプーン
2616,メタルジグ
2617,シンキングミノー
2618,スナーブルフライ
2619,ヘヴィメタルジグ
2620,スピナー
2621,クリルフィーダー
2622,ミスリルスプーン
2623,フェザントフライ
2624,トップウォーターフロッグ
2625,レインボースプーン
2626,スピナーベイト
2627,ストリーマー
2628,弓角
2629,コイフ
2630,ギャザラーコイフ
2631,カロ
2642,ドリームキャップ
2644,兎形兜
2650,カンパニーハット
2652,バンダナ
2653,アイパッチ
2654,ポットヘルム
2655,ハット
2656,チェーンコイフ
2657,オールドシェフズハット
2658,ストローハット
2660,アマチュアヘッドギア
2661,アマチュアコイフ
2662,サレット
2663,ステーブルメイドハット
2664,バルビュート
2665,コットンターバン
2666,ステーブルハンドハット
2667,オールドチェラータ
2668,ブラススペクタクルズ
2669,ハードレザー・アイパッチ
2670,コットンスカーフ
2672,スカルキャップ
2673,チェラータ
2675,アッシュマスク
2677,ハンティングハット
2679,プランダードキャバリエハット
2680,バルビュートDX
2682,パイレーツバンダナ
2683,プランダードゴーグル
2684,プランダードチェラータ
2685,ブラスサークレット(サンストーン)
2687,ブラスサークレット(ダンビュライト)
2689,ブラスサークレット(マラカイト)
2691,ブラスサークレット(スフェーン)
2693,ブラスサークレット(フローライト)
2695,ブラスサークレット(ラピスラズリ)
2697,アルドゴートポットヘルム
2699,コットンコイフ
2700,コットンギャザラーコイフ
2702,オールドジェスターキャップ
2703,アッシュマスク(ラピスラズリ)
2705,黒漆塗兎形兜
2706,銀箔押兎形兜
2708,アイアンサレット
2710,アルドゴートアイパッチ
2712,アイアンチェラータ
2714,イニシエートヘッドギア
2719,コットンシュガーローフ
2721,ドクトルチェーンコイフ
2722,ドクトルウィザードハット
2723,アイアンエルモ
2725,アイアンサレットDX
2727,ベルベティーンバンダナ
2728,シルバースペクタクルズ
2729,ベルベティーンターバン
2731,シルバーマグニファイアーズ
2733,ベルベティーン・クラフターウェッジキャップ
2734,ベルベティーン・ギャザラーウェッジキャップ
2735,シルバーサークレット(ガーネット)
2737,シルバーサークレット(ゴシェナイト)
2739,シルバーサークレット(ペリドット)
2741,シルバーサークレット(ヘリオドール)
2743,シルバーサークレット(アメジスト)
2745,シルバーサークレット(アクアマリン)
2750,ベルベティーンベレー
2753,スチールサレット
2755,スチールチェラータ
2757,ヴィンテージチェラータ
2758,スチールゴーグル
2759,オールドコイフ
2763,ベルベティーンシュガーローフ
2765,スチールエルモ
2767,スカルアイパッチ
2769,ミスリルマグニファイアーズ
2774,ミスリルスペクタクルズ
2776,リネンターバン
2778,アングラーハット
2779,リネンハット
2785,ヴィンテージシェフズハット
2786,スチールバルビュート
2788,ボアポットヘルム
2790,ミスリルサークレット(ルベライト)
2792,ミスリルサークレット(ジルコン)
2794,ミスリルサークレット(トルマリン)
2796,ミスリルサークレット(アンバー)
2798,ミスリルサークレット(スピネル)
2800,ミスリルサークレット(ターコイズ)
2802,ミスリルエルモ
2804,リネン・クラフターウェッジキャップ
2805,リネン・ギャザラーウェッジキャップ
2806,ウールコイフ
2808,ウールギャザラーコイフ
2810,ウールターバン
2812,ミスリルチェラータ
2814,ウールハット
2816,ディアストーカーハット
2817,ミスリルバルビュート
2819,メセイル
2820,レッドオニオンヘルム
2821,エクスプローラーカロ
2822,エクスプローラーバンダナ
2823,ベテランポットヘルム
2825,レンジャーハット
2827,ミスリルチェーンコイフ
2829,ウールベレー
2830,ミスリルエルモDX
2832,キャバリエハット
2834,コバルトプリザーヴ
2835,フェルトコイフ
2837,フェルトギャザラーコイフ
2850,コバルトエルモ
2852,フェルトハット
2854,ウールディアストーカーハット
2855,ヴィンテージジェスターキャップ
2856,パンスネ
2857,モノクル
2859,コバルトバルビュート
2861,コバルトメセイル
2862,ラプトルポットヘルム
2870,エレクトラムサークレット(ルベライト)
2872,エレクトラムサークレット(ジルコン)
2874,エレクトラムサークレット(トルマリン)
2876,エレクトラムサークレット(アンバー)
2878,エレクトラムサークレット(スピネル)
2880,エレクトラムサークレット(ターコイズ)
2882,レインメイカーハット
2884,コバルトチェーンコイフ
2886,フェルトベレー
2887,バッカニアトライコーン
2888,ヴィンテージコイフ
2889,コバルトチェラータ
2891,フェルトキャバリエハット
2893,コバルトサレット
2895,パトリシアンウェッジキャップ
2896,テンプラーチェーンコイフ
2906,ハーレクインキャップ
2911,ミリシアバルビュート
2912,ミリシアアーメット
2913,ミリシアハット
2915,シルバートライコーン
2919,センチネルチェラータ
2920,カーペンターフード
2921,ブラックスミスゴーグル
2922,アーモラーバイザー
2923,ゴールドスミスターバン
2924,レザーワーカーハット
2925,ウィーバーギブス
2926,アルケミストモノクル
2927,クリナリアンハット
2928,ディガーヘルメット
2929,カッターハット
2930,フィッシャーハット
2931,レギオンバイザー
2932,ローズゴールドサークレット
2933,オペレーティブトライコーン
2934,オペレーティブキャップ
2938,ヒッポグリフバンダナ
2939,ヒッポグリフハット
2940,ダークスチール・チェーンコイフ
2941,ヴァンヤキャスターハット
2942,ヴァンヤヒーラーハット
2958,ダルマティカ
2959,ギャザラーダルマティカ
2960,チュニック
2961,クルタ
2965,ドリームチュニック
2983,ヒューランチュニック
2984,ヒューランシュミゼット
2985,エレゼンサーコート
2986,エレゼンガウン
2987,ララフェルチュニック
2988,ララフェルカフタン
2989,ミコッテベスト
2990,ミコッテセパレーツ
2991,ルガディンハーネス
2992,ルガディンボディス
2993,カンパニータバード
2995,ウェザードシェパードチュニック
2996,アンダーシャツ
2997,カミーズ
2998,オールドダブレットベスト
2999,タバード
3000,カウル
3001,シェパードチュニック
3008,アクトン
3009,オールドコーティー
3010,ハーフローブ
3011,ホーバージョン
3012,オールドシェフズエプロン
3013,アマチュアダブレットベスト
3014,アマチュアクルタ
3015,アマチュアダルマティカ
3016,ジャケット
3017,ハーネス
3018,ローブ
3019,クラフターダブレットベスト
3020,ギャザラーダブレットベスト
3021,オールドスケイルメイル
3022,コットンシャツ
3023,コットンシェパードチュニック
3024,コットンカウル
3026,キュイラス
3028,コットンタバード
3030,プランダードジャケット
3031,プランダードホーバージョン
3032,プランダードブリオー
3033,プランダードキュイラス
3036,コットンダルマティカ
3038,コットンギャザラーダルマティカ
3039,コットンアクトン
3041,コットンクルタ
3043,アルドゴートジャケット
3045,アイアンキュイラス
3050,コットンハーフローブ
3052,コットン・クラフターダブレットベスト
3053,コットン・ギャザラーダブレットベスト
3054,ドクトルチェーンメイル
3055,ドクトルハーネス
3056,ドクトルローブ
3057,アイアンスケイルメイル
3059,オールドホーバージョン
3060,コットントラッパーチュニック
3062,コットンローブ
3064,イニシエートダブレットベスト
3065,イニシエートガウン
3066,ベルベティーンシャツ
3068,ヘヴィアイアンアーマー
3076,ヴィンテージコーティー
3077,ベルベティーンクラフターコーティー
3090,ベルベティーンカウル
3092,ベルベティーンギャザラーコーティー
3096,スチールチェーンメイル
3098,オールドセネシャルコーティー
3099,トードジャーキン
3100,トードジャケット
3102,スチールキュイラス
3104,ベルベティーンガウン
3105,ヴィンテージダブレットベスト
3106,ベルベティーンハーフローブ
3108,オールドローブ
3118,スチールスケイルメイル
3120,ベルベティーン・クラフターダブレットベスト
3121,ベルベティーン・ギャザラーダブレットベスト
3125,リネンシャツ
3127,ヘヴィスチールアーマー
3129,アプレンティスダブレット
3130,アプレンティススモック
3131,リネンローブ
3137,ヴィンテージシェフズエプロン
3138,ボアハーネス
3140,リネンカウル
3142,ホーンスケイルメイル
3144,リネンクラフターコーティー
3145,リネンギャザラーコーティー
3146,リネンブリオー
3147,ウールシャツ
3149,ミスリルキュイラス
3160,ウールローブ
3162,スモック
3163,リネンダブレット
3164,ヴィンテージスケイルメイル
3165,ペイストハーネス
3167,エクスプローラーチュニック
3168,ベテランアクトン
3170,エクスプローラータバード
3171,メイジハーフローブ
3172,レンジャーチュニック
3174,ミスリルホーバージョン
3176,ウールガウン
3177,ボアジャーキン
3178,ブリオー
3180,ヘヴィミスリルアーマー
3182,ヴィンテージセネシャルコーティー
3183,トータススケイルメイル
3185,フェルトローブ
3187,ウールスモック
3188,ウールダブレット
3189,コロセウムガレルース
3190,コロセウムショール
3191,ラプトルハーネス
3193,ウールカウル
3201,レインメイカーチュニック
3203,コバルトホーバージョン
3205,フェルトガウン
3206,ラプトルジャーキン
3207,バッカニアシャツ
3208,ヴィンテージローブ
3209,コバルトキュイラス
3211,フェルトブリオー
3213,ラプトルジャケット
3215,パトリシアンコーティー
3217,テンプラーホーバージョン
3218,ヴィンテージホーバージョン
3219,ハーレクインアクトン
3229,カーペンターガウン
3230,ブラックスミスエプロン
3231,アーモラーガウン
3232,ゴールドスミスダブレット
3233,レザーワーカーシャツ
3234,ウィーバースワローテイル
3235,アルケミストコート
3236,クリナリアンエプロン
3237,ディガーシャツ
3238,カッターダブレット
3239,フィッシャーシャツ
3240,ミリシアローブ
3241,ミリシアキュイラス
3242,ミリシアハーネス
3243,モスホーンスケイルメイル
3244,ドドレダブレット
3248,センチネルキュイラス
3249,オペレーティブダルマティカ
3256,ヘヴィ・ダークスチールアーマー
3257,ダークスチールホーバージョン
3258,ヒッポグリフジャーキン
3259,ヒッポグリフチュニック
3260,ヴァンヤキャスターローブ
3261,ヴァンヤヒーラーローブ
3274,ブリーチ
3275,クラフターブリーチ
3276,シェパードスロップ
3296,ヒューランブリーチ
3297,ヒューランスカート
3298,エレゼンブラッカエ
3299,エレゼンタイツ
3300,ララフェルガスキン
3301,ララフェルブルマ
3302,ミコッテズワーブ
3303,ミコッテロインクロス
3304,ルガディンブリーチ
3305,ルガディンレッグストラップ
3306,ウェザードシェパードスロップ
3307,アンダーパンツ
3308,パンタレット
3309,ショース
3310,キュロット
3311,サルエル
3312,タイツ
3313,ケクス
3314,ガスキン
3315,アマチュアスロップ
3316,アマチュアブリーチ
3317,ボトム
3318,トラウザー
3319,サブリガ
3320,コットンストライプスロップ
3321,コットンサルエル
3322,コットンシェパードスロップ
3324,コットンショース
3325,トラウザーDX
3327,コットンタイツ
3331,プランダードトラウザー
3332,コットントラウザー
3334,コットンブリーチ
3336,コットンクラフターブリーチ
3337,アルドゴートブレー
3339,コットントラウザーDX
3341,イニシエートスロップ
3342,オールドホーズ
3343,コットンガスキン
3345,コットンケクス
3347,アルドゴートブリーチ
3348,ベルベティーンショース
3349,ベルベティーンサルエル
3351,ベルベティーンギャザラーサルエル
3352,ヘヴィアイアンフランチャード
3354,ベルベティーンストライプスロップ
3355,ベルベティーンタイツ
3363,ベルベティーンボトム
3365,ベルベティーントラウザー
3367,トードブレー
3369,トードキュロット
3370,ベルベティーントラウザーDX
3372,ベルベティーンガスキン
3377,トードブリーチ
3379,リネンショース
3383,リネンサルエル
3385,リネンギャザラーサルエル
3386,ヘヴィスチールフランチャード
3397,リネンタイツ
3399,リネントラウザー
3402,ボアサブリガ
3404,リネンボトム
3405,ボアブリーチ
3406,ヴィンテージホーズ
3407,リネンガスキン
3408,ウールサルエル
3410,ウールギャザラーサルエル
3411,リネントラウザーDX
3413,ウールタイツ
3415,リネンスロップ
3416,ペイストサブリガ
3418,トールムーンサブリガ
3419,メイジショース
3420,エクスプローラーブリーチ
3421,ウールケクス
3423,ボアスカート
3425,ウールショース
3426,ボアキュロット
3427,ウールトラウザー
3429,ウールガスキン
3431,ヘヴィミスリルフランチャード
3442,ウールスロップ
3443,ラプトルブリーチ
3445,コロセウムサブリガ
3446,コロセウムロインクロス
3447,ラプトルサブリガ
3454,フェルトケクス
3456,フェルトショース
3457,ラプトルキュロット
3467,フェルトガスキン
3469,ウールトラウザーDX
3471,ラプトルブレー
3473,フェルトトラウザー
3475,パトリシアンボトム
3476,ハーレクインタイツ
3477,ミリシアトラウザー
3478,ミリシアタイツ
3479,ミリシアサブリガ
3480,センチネルトラウザー
3481,カーペンタースロップ
3482,ブラックスミススロップ
3483,アーモラースロップ
3484,ゴールドスミストラウザー
3485,レザーワーカートラウザー
3486,ウィーバートラウザー
3487,アルケミストトラウザー
3488,クリナリアントラウザー
3489,ディガースロップ
3490,カッタースロップ
3491,フィッシャーガスキン
3498,ヘヴィ・ダークスチールフランチャード
3499,ヒッポグリフトラウザー
3500,ヒッポグリフケクス
3501,ヴァンヤトラウザー
3502,ヴァンヤキャスターブリーチ
3503,ヴァンヤヒーラーブリーチ
3515,ハーフグローブ
3516,リストガード
3520,ヒューラングローブ
3521,ヒューランハーフグローブ
3522,エレゼングローブ
3523,エレゼンハーフグローブ
3524,ララフェルリストガード
3525,ララフェルリストバンド
3526,ミコッテガントレット
3527,ミコッテグローブ
3528,ルガディンブレーサー
3529,ルガディンアームガード
3530,フィンガレスグローブ
3531,ライトミトン
3532,ワークグローブ
3533,ショーティ
3534,ミトン
3535,リングバンド
3536,アマチュアスミスグローブ
3537,ハードレザー・リストガード
3538,ドレスグローブ
3539,ブレーサー
3540,ミトンガントレット
3541,ハードレザー・アームガード
3542,ハードレザー・ライトミトン
3543,コットンハーフグローブ
3544,ガントレット
3546,ハードレザー・フィンガレスグローブ
3547,ハードレザー・リングバンド
3549,アルドゴートリストガード
3550,ミトンガントレットDX
3552,アルドゴートミトン
3556,プランダードガントレット
3557,アイアンヴァンブレイス
3559,アルドゴートアームガード
