アイテムID,日本語アイテム名,ワールド名,出品単価(Gil),出品数量,合計価格(Gil),HQフラグ,リテイナー名,出品都市,リテイナーID,セラーID,染色ID,マネキン出品,装着マテリア情報,最終確認タイムスタンプ
9737,ナルザルオーダー・ポディウム,Chocobo,750,1,750,NQ,Leblac,リムサ・ロミンサ,33776997240662765,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,760,1,760,NQ,Asdtan,リムサ・ロミンサ,33776997240347024,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,800,1,800,NQ,Rutilant,イシュガルド,33776997238923368,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,800,1,800,NQ,Seanleepee,クリスタリウム,33776997240350953,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,1060,1,1060,NQ,Tianlei,オールド・シャーレアン,33776997237020687,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,1380,1,1380,NQ,X-three,リムサ・ロミンサ,33776997239704817,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,2060,1,2060,NQ,Eretre,トライヨラ,33776997236761329,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,3900,1,3900,NQ,Tiyanday,ウルダハ,33776997239612549,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,4000,1,4000,NQ,Llddk,イシュガルド,33776997239170625,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,24000,1,24000,NQ,Rokuzero,クガネ,33776997237065962,,0,いいえ,なし,1785771995
9737,ナルザルオーダー・ポディウム,Chocobo,1000060,1,1000060,NQ,Nanacchi,グリダニア,33776997235345301,,0,いいえ,なし,1785771995
23888,ガラスボトルセット,Chocobo,66000,1,66000,NQ,Kururuchan,リムサ・ロミンサ,33776997240643610,,0,いいえ,なし,1786033142
23888,ガラスボトルセット,Chocobo,100000,1,100000,NQ,Arutairu,ウルダハ,33776997235457554,,0,いいえ,なし,1786033142
23888,ガラスボトルセット,Chocobo,900000,1,900000,NQ,Aqua-pazza,リムサ・ロミンサ,33776997240743795,,0,いいえ,なし,1786033142
46102,キャビンズ・ソファ,Chocobo,740000,1,740000,NQ,Nakky,クリスタリウム,33776997236059420,,0,いいえ,なし,1781715926
46102,キャビンズ・ソファ,Chocobo,750000,1,750000,NQ,Bayonetta,ウルダハ,33776997235611584,,0,いいえ,なし,1781715926
12551,ラリマール原石,Chocobo,209,99,20691,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735771
12551,ラリマール原石,Chocobo,339,99,33561,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735771
12551,ラリマール原石,Chocobo,339,99,33561,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735771
12551,ラリマール原石,Chocobo,369,99,36531,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735771
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735771
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735771
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Amesoeurs,クリスタリウム,33776997237414620,,0,いいえ,なし,1785735772
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735771
12551,ラリマール原石,Chocobo,399,99,39501,NQ,Rodeotandem,クリスタリウム,33776997237542349,,0,いいえ,なし,1785735772
46077,セレモニアル・ディフェンダーバングル,Chocobo,50000,1,50000,NQ,Ikeusa,リムサ・ロミンサ,33776997237659293,,0,いいえ,なし,1785759487
46077,セレモニアル・ディフェンダーバングル,Chocobo,99998,1,99998,NQ,Itukyiuktyuk,グリダニア,33776997240861540,,0,いいえ,なし,1785759487
46077,セレモニアル・ディフェンダーバングル,Chocobo,99999,1,99999,NQ,Tokudoku-nanami,トライヨラ,33776997238464857,,0,いいえ,なし,1785759487
9518,サイプレス原木,Chocobo,100,2,200,NQ,Heysay-jump,リムサ・ロミンサ,33776997241178879,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,100,2,200,NQ,Kasandora,グリダニア,33776997240986503,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,100,4,400,NQ,Kotya,クリスタリウム,33776997240777228,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,100,8,800,NQ,K-logistics',クリスタリウム,33776997238524801,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,130,4,520,NQ,Atopo,グリダニア,33776997239999429,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,200,2,400,NQ,Chacotton,オールド・シャーレアン,33776997235325115,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,200,2,400,NQ,Hain',トライヨラ,33776997238881255,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,200,31,6200,NQ,Manakachan,イシュガルド,33776997238766715,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,400,4,1600,NQ,Xor-third,ウルダハ,33776997240987938,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,400,99,39600,NQ,Hakuma,クリスタリウム,33776997238092770,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,5000,6,30000,NQ,Sokei,クガネ,33776997236566742,,0,いいえ,なし,1785214046
9518,サイプレス原木,Chocobo,5000,30,150000,NQ,Babble,ウルダハ,33776997236069566,,0,いいえ,なし,1785214046
5075,ダークスチールプレート,Chocobo,5000,24,120000,NQ,Mchi',ウルダハ,33776997240979738,,0,いいえ,なし,1785933230
5075,ダークスチールプレート,Chocobo,5002,1,5002,NQ,Around-forty,クガネ,33776997241096750,,0,いいえ,なし,1785933230
5075,ダークスチールプレート,Chocobo,5100,5,25500,HQ,Pyra,リムサ・ロミンサ,33776997235695285,,0,いいえ,なし,1785933230
5075,ダークスチールプレート,Chocobo,5500,9,49500,NQ,Khalid,トライヨラ,33776997240539044,,0,いいえ,なし,1785933230
5075,ダークスチールプレート,Chocobo,5800,3,17400,HQ,Behenath,ウルダハ,33776997239152681,,0,いいえ,なし,1785933230
5075,ダークスチールプレート,Chocobo,909090,11,9999990,HQ,Forcelala,イシュガルド,33776997236561115,,0,いいえ,なし,1785933230
47196,ピーコック・クラフターブレスレット,Chocobo,175000,1,175000,HQ,Crein,クガネ,33776997235791442,,0,いいえ,なし,1786040647
47196,ピーコック・クラフターブレスレット,Chocobo,175000,1,175000,HQ,Crein,クガネ,33776997235791442,,0,いいえ,なし,1786040647
47196,ピーコック・クラフターブレスレット,Chocobo,175000,1,175000,HQ,Mozzarella,オールド・シャーレアン,33776997236052790,,0,いいえ,なし,1786040647
47196,ピーコック・クラフターブレスレット,Chocobo,175990,1,175990,HQ,Pythonizm,クガネ,33776997238515666,,0,いいえ,なし,1786040647
47196,ピーコック・クラフターブレスレット,Chocobo,195999,1,195999,HQ,Aaaaiiyudana,クガネ,33776997240269497,,0,いいえ,なし,1786040647
47196,ピーコック・クラフターブレスレット,Chocobo,222000,1,222000,HQ,Mavis,グリダニア,33776997236253598,,0,いいえ,なし,1786040647
47196,ピーコック・クラフターブレスレット,Chocobo,222000,1,222000,HQ,Mavis,グリダニア,33776997236253598,,0,いいえ,なし,1786040647
47196,ピーコック・クラフターブレスレット,Chocobo,987021,1,987021,HQ,Akari-ai-alicia,リムサ・ロミンサ,33776997240104180,,0,いいえ,"[{""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}]",1786040647
47196,ピーコック・クラフターブレスレット,Chocobo,1800000,1,1800000,HQ,Hishimiya,オールド・シャーレアン,33776997240613731,,0,いいえ,"[{""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}]",1786040647
47196,ピーコック・クラフターブレスレット,Chocobo,1800000,1,1800000,HQ,Hishimiya,オールド・シャーレアン,33776997240613731,,0,いいえ,"[{""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}, {""slotID"": 0, ""materiaID"": 0}]",1786040648
52295,演技教本:後ろを振り返る,Chocobo,1480000,1,1480000,NQ,Muumuu,トライヨラ,33776997235475299,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1500000,1,1500000,NQ,Tenchosan,トライヨラ,33776997236383123,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1569999,1,1569999,NQ,Temporary-,クガネ,33776997235305266,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1570000,1,1570000,NQ,Gimmy,オールド・シャーレアン,33776997235326438,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1579999,1,1579999,NQ,Googlepixle,オールド・シャーレアン,33776997237949766,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1579999,1,1579999,NQ,Googlepixle,オールド・シャーレアン,33776997237949766,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1580000,1,1580000,NQ,Yyyshtk,トライヨラ,33776997238485278,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1599999,1,1599999,NQ,Deonaidh,トライヨラ,33776997236838420,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1700000,1,1700000,NQ,Cony,リムサ・ロミンサ,33776997238429177,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1700000,1,1700000,NQ,Cony,リムサ・ロミンサ,33776997238429177,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1700000,1,1700000,NQ,Salt-pon,リムサ・ロミンサ,33776997239493906,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,1970000,1,1970000,NQ,Asus,トライヨラ,33776997236359964,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,2000000,1,2000000,NQ,Kinakomo,リムサ・ロミンサ,33776997240201980,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,2200000,1,2200000,NQ,Milk-chan,トライヨラ,33776997241108490,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,2200000,1,2200000,NQ,Ayree,トライヨラ,33776997240201175,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,2200000,1,2200000,NQ,Milk-chan,トライヨラ,33776997241108490,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,2300000,1,2300000,NQ,Ohayo-mo-mo-,リムサ・ロミンサ,33776997237229912,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,2480001,1,2480001,NQ,Asuthin,トライヨラ,33776997236101531,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,2500000,1,2500000,NQ,Mecabu,リムサ・ロミンサ,33776997239226013,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,2950000,1,2950000,NQ,Rheshe,リムサ・ロミンサ,33776997236371510,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,3080000,1,3080000,NQ,Ravelli,ウルダハ,33776997235346094,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,3500000,1,3500000,NQ,Ifmo,クリスタリウム,33776997237839702,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,3800000,1,3800000,NQ,Beak,リムサ・ロミンサ,33776997236245928,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,3800000,1,3800000,NQ,Nyako-b,グリダニア,33776997235339611,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,3800000,1,3800000,NQ,Vinette,グリダニア,33776997235519913,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,3960000,1,3960000,NQ,Lubee,クリスタリウム,33776997239399111,,0,いいえ,なし,1786058842
52295,演技教本:後ろを振り返る,Chocobo,5000000,1,5000000,NQ,Waka'nuit,トライヨラ,33776997236905292,,0,いいえ,なし,1786058842
