アイテムID,アイテム名,ワールド名,取引日時(JST),単価(Gil),数量,HQ,購入者名
49832,クレセントマギ・ソーサラーネックレス,Ixion,2026-08-06 16:30:35,18000000,1,NQ,Asuka Pocari
7970,ウォールプランター,Asura,2026-08-06 16:30:15,2999,1,NQ,Eve Amabile
7970,ウォールプランター,Asura,2026-08-06 16:30:14,2999,1,NQ,Eve Amabile
48096,フォーチュンカロット,Kujata,2026-08-06 16:29:28,3049112,1,NQ,Kelly Yore
48096,フォーチュンカロット,Kujata,2026-08-06 16:29:27,3049112,1,NQ,Kelly Yore
48096,フォーチュンカロット,Kujata,2026-08-06 16:29:26,3035999,1,NQ,Kelly Yore
13,ウォータークリスタル,Carbuncle,2026-08-06 16:29:13,30,3000,NQ,Smol Aegis
13,ウォータークリスタル,Carbuncle,2026-08-06 16:29:11,30,3000,NQ,Smol Aegis
11,アースクリスタル,Carbuncle,2026-08-06 16:28:58,30,3000,NQ,Smol Aegis
11,アースクリスタル,Carbuncle,2026-08-06 16:28:56,30,3000,NQ,Smol Aegis
11,アースクリスタル,Carbuncle,2026-08-06 16:28:55,30,3000,NQ,Smol Aegis
10,ウィンドクリスタル,Carbuncle,2026-08-06 16:28:48,30,3000,NQ,Smol Aegis
10,ウィンドクリスタル,Carbuncle,2026-08-06 16:28:46,30,3000,NQ,Smol Aegis
10,ウィンドクリスタル,Carbuncle,2026-08-06 16:28:45,30,3000,NQ,Smol Aegis
9,アイスクリスタル,Carbuncle,2026-08-06 16:28:35,30,3000,NQ,Smol Aegis
9,アイスクリスタル,Carbuncle,2026-08-06 16:28:34,30,3000,NQ,Smol Aegis
9,アイスクリスタル,Carbuncle,2026-08-06 16:28:33,30,3000,NQ,Smol Aegis
49831,クレセントマギ・ソーサラーイヤリング,Ixion,2026-08-06 16:28:28,15000000,1,NQ,Giniro Mmtwo
47170,ゴールデンサム・フライパン,Shinryu,2026-08-06 16:27:43,197700,1,HQ,Lois Ritz
9,アイスクリスタル,Carbuncle,2026-08-06 16:27:30,30,3000,NQ,Hisho Dandy
9,アイスクリスタル,Carbuncle,2026-08-06 16:27:29,30,3000,NQ,Hisho Dandy
46185,古ぼけた地図G18,Ifrit,2026-08-06 16:27:16,29990,1,NQ,Ellie Acalypha
13,ウォータークリスタル,Carbuncle,2026-08-06 16:26:58,30,3000,NQ,Mr Poccol
13,ウォータークリスタル,Carbuncle,2026-08-06 16:26:57,30,3000,NQ,Mr Poccol
13,ウォータークリスタル,Carbuncle,2026-08-06 16:26:56,30,3000,NQ,Mr Poccol
49831,クレセントマギ・ソーサラーイヤリング,Titan,2026-08-06 16:26:55,14400000,1,NQ,Sumi Tkg
49828,クレセントマギ・ファイターブレスレット,Alexander,2026-08-06 16:26:35,32000000,1,NQ,Axell Maxwell
49827,クレセントマギ・ファイターネックレス,Alexander,2026-08-06 16:26:29,35000000,1,NQ,Axell Maxwell
49826,クレセントマギ・ファイターイヤリング,Alexander,2026-08-06 16:26:22,32000000,1,NQ,Axell Maxwell
52440,ヘアカタログ:ブレイドバン,Asura,2026-08-06 16:26:07,1399999,1,NQ,Sono Hoka
48096,フォーチュンカロット,Masamune,2026-08-06 16:24:36,3090004,1,NQ,Manah Caim
48096,フォーチュンカロット,Tonberry,2026-08-06 16:24:35,3029994,1,NQ,Arisa Kuzunoha
48096,フォーチュンカロット,Masamune,2026-08-06 16:24:35,3090003,1,NQ,Manah Caim
48096,フォーチュンカロット,Tonberry,2026-08-06 16:24:33,3029993,1,NQ,Arisa Kuzunoha
52440,ヘアカタログ:ブレイドバン,Ultima,2026-08-06 16:24:07,1400000,1,NQ,Yumina Hoshino
52255,カララント:アディショナルカラー1,Masamune,2026-08-06 16:24:06,5300,2,NQ,Dovahkiin Dragonborn
10,ウィンドクリスタル,Carbuncle,2026-08-06 16:23:37,30,3000,NQ,Mikan Kotatsu
10,ウィンドクリスタル,Carbuncle,2026-08-06 16:23:36,30,3000,NQ,Mikan Kotatsu
13,ウォータークリスタル,Carbuncle,2026-08-06 16:23:21,30,3000,NQ,Smol Aegis
13,ウォータークリスタル,Carbuncle,2026-08-06 16:23:20,30,3000,NQ,Smol Aegis
49271,コートリーラヴァー・ディフェンダーヘアピン,Pandaemonium,2026-08-06 16:23:20,196798,1,HQ,Tkw Nabe
11,アースクリスタル,Carbuncle,2026-08-06 16:23:13,30,3000,NQ,Smol Aegis
11,アースクリスタル,Carbuncle,2026-08-06 16:23:12,30,3000,NQ,Smol Aegis
11,アースクリスタル,Carbuncle,2026-08-06 16:23:11,30,3000,NQ,Smol Aegis
52440,ヘアカタログ:ブレイドバン,Ultima,2026-08-06 16:22:25,1399999,1,NQ,Eve Xenon
50973,包丁研磨用オイル,Ixion,2026-08-06 16:22:14,15799,1,NQ,Liz Taylor
50972,包丁強化用合金,Ixion,2026-08-06 16:22:09,19993,1,NQ,Liz Taylor
50971,包丁強化用グリップ材,Ixion,2026-08-06 16:21:45,18999,1,NQ,Liz Taylor
46185,古ぼけた地図G18,Anima,2026-08-06 16:21:36,29999,1,NQ,Chalon Kuze
48096,フォーチュンカロット,Kujata,2026-08-06 16:21:35,3000000,1,NQ,Airuru Airu
48096,フォーチュンカロット,Kujata,2026-08-06 16:21:34,3000000,1,NQ,Airuru Airu
46185,古ぼけた地図G18,Anima,2026-08-06 16:21:25,29999,1,NQ,Chalon Kuze
44169,魔匠の薬液,Masamune,2026-08-06 16:20:55,777,1,NQ,Osa Osa
44169,魔匠の薬液,Masamune,2026-08-06 16:20:54,776,4,NQ,Osa Osa
44169,魔匠の薬液,Masamune,2026-08-06 16:20:53,400,1,NQ,Osa Osa
52256,カララント:アディショナルカラー2,Tonberry,2026-08-06 16:20:51,16070,5,NQ,Bochuchu Bochu
44169,魔匠の薬液,Masamune,2026-08-06 16:20:50,399,1,NQ,Osa Osa
44169,魔匠の薬液,Masamune,2026-08-06 16:20:49,399,1,NQ,Osa Osa
46246,紫電の霊砂,Chocobo,2026-08-06 16:20:14,5000,2,NQ,Lulu Boy
23002,クウェインチュレル・ラッフルスカート,Titan,2026-08-06 16:20:07,401,1,NQ,Ati Ruru
11,アースクリスタル,Carbuncle,2026-08-06 16:20:00,30,3000,NQ,Smol Aegis
11,アースクリスタル,Carbuncle,2026-08-06 16:19:59,30,3000,NQ,Smol Aegis
52440,ヘアカタログ:ブレイドバン,Tonberry,2026-08-06 16:19:51,1149999,1,NQ,Sayuri Luvixe
49323,コートリーラヴァー・レンジャーリング,Ixion,2026-08-06 16:19:39,199400,1,HQ,Picoreana Forsyth
46185,古ぼけた地図G18,Ifrit,2026-08-06 16:18:13,30000,1,NQ,Rena Goldmarry
46185,古ぼけた地図G18,Ifrit,2026-08-06 16:18:01,29000,1,NQ,Rena Goldmarry
46185,古ぼけた地図G18,Anima,2026-08-06 16:17:32,29999,1,NQ,Sazanami Migiwa
46185,古ぼけた地図G18,Anima,2026-08-06 16:17:21,29999,1,NQ,Sazanami Migiwa
46246,紫電の霊砂,Tonberry,2026-08-06 16:16:47,1650,99,NQ,Jun Yuno
13115,カララント:ジェットブラック,Durandal,2026-08-06 16:16:11,409950,1,NQ,Mochi Anko'ro
13115,カララント:ジェットブラック,Durandal,2026-08-06 16:16:08,408000,1,NQ,Mochi Anko'ro
49220,活力の宝水G4,Tonberry,2026-08-06 16:15:57,9498,1,HQ,Jun Yuno
49220,活力の宝水G4,Tonberry,2026-08-06 16:15:56,9495,1,HQ,Jun Yuno
49220,活力の宝水G4,Tonberry,2026-08-06 16:15:53,9494,7,HQ,Jun Yuno
46185,古ぼけた地図G18,Tiamat,2026-08-06 16:15:48,30000,1,NQ,Anzu Luna
47194,ピーコック・クラフターイヤリング,Alexander,2026-08-06 16:15:47,187829,1,HQ,Mixuta Seek
13114,カララント:ピュアホワイト,Tonberry,2026-08-06 16:15:15,449999,1,NQ,Felorina Synthia
50973,包丁研磨用オイル,Pandaemonium,2026-08-06 16:14:50,29900,1,NQ,Siel Infernoid
50972,包丁強化用合金,Pandaemonium,2026-08-06 16:14:47,23500,1,NQ,Siel Infernoid
50971,包丁強化用グリップ材,Pandaemonium,2026-08-06 16:14:44,27444,1,NQ,Siel Infernoid
10373,魔導機械修理材,Masamune,2026-08-06 16:14:40,1550,99,NQ,Aoi Ceo
10373,魔導機械修理材,Masamune,2026-08-06 16:14:39,1550,99,NQ,Aoi Ceo
52256,カララント:アディショナルカラー2,Tonberry,2026-08-06 16:14:04,16070,5,NQ,Luna Flory
52256,カララント:アディショナルカラー2,Tonberry,2026-08-06 16:14:00,16070,5,NQ,Luna Flory
52256,カララント:アディショナルカラー2,Tonberry,2026-08-06 16:13:58,16070,5,NQ,Luna Flory
52256,カララント:アディショナルカラー2,Tonberry,2026-08-06 16:13:56,16070,5,NQ,Luna Flory
52440,ヘアカタログ:ブレイドバン,Ramuh,2026-08-06 16:13:49,1300000,1,NQ,Rog Bulan
46185,古ぼけた地図G18,Tiamat,2026-08-06 16:13:18,29990,1,NQ,Ketenramm Wuntwilf
46185,古ぼけた地図G18,Tiamat,2026-08-06 16:13:05,29990,1,NQ,Ketenramm Wuntwilf
52264,クワイエット・コリブリ・ホイッスル,Gungnir,2026-08-06 16:12:50,1978000,1,NQ,Fiore Competizione
49831,クレセントマギ・ソーサラーイヤリング,Pandaemonium,2026-08-06 16:12:39,16500000,1,NQ,Mama Minano
40394,マジックプリズム:レポリットヘッド,Belias,2026-08-06 16:12:03,200,1,NQ,Erebus Nocturne
40394,マジックプリズム:レポリットヘッド,Belias,2026-08-06 16:12:02,200,1,NQ,Erebus Nocturne
40394,マジックプリズム:レポリットヘッド,Belias,2026-08-06 16:12:01,200,1,NQ,Erebus Nocturne
40394,マジックプリズム:レポリットヘッド,Belias,2026-08-06 16:11:59,200,1,NQ,Erebus Nocturne
40394,マジックプリズム:レポリットヘッド,Belias,2026-08-06 16:11:58,200,1,NQ,Erebus Nocturne
46185,古ぼけた地図G18,Ifrit,2026-08-06 16:11:46,30000,1,NQ,Ellie Acalypha
46185,古ぼけた地図G18,Ifrit,2026-08-06 16:11:34,30000,1,NQ,Ellie Acalypha
41767,巨匠のハイオメガマテリジャ,Ridill,2026-08-06 16:11:30,12200,30,NQ,Libra Omega
46185,古ぼけた地図G18,Anima,2026-08-06 16:11:26,29999,1,NQ,Sazanami Migiwa
46185,古ぼけた地図G18,Anima,2026-08-06 16:11:15,29999,1,NQ,Sazanami Migiwa
10373,魔導機械修理材,Valefor,2026-08-06 16:11:09,1590,99,NQ,Aldora Ura
52255,カララント:アディショナルカラー1,Masamune,2026-08-06 16:11:00,5500,1,NQ,Dovahkiin Dragonborn
46185,古ぼけた地図G18,Kujata,2026-08-06 16:10:33,20000,1,NQ,Ella Irryasch
46185,古ぼけた地図G18,Kujata,2026-08-06 16:10:16,20000,1,NQ,Ella Irryasch
49832,クレセントマギ・ソーサラーネックレス,Carbuncle,2026-08-06 16:10:08,18000000,1,NQ,Kori Kona
52256,カララント:アディショナルカラー2,Chocobo,2026-08-06 16:09:56,16895,5,NQ,Dovahkiin Dragonborn
49831,クレセントマギ・ソーサラーイヤリング,Aegis,2026-08-06 16:09:24,14400000,1,NQ,Kori Kona
10092,黒石灰岩,Valefor,2026-08-06 16:09:10,171,7,NQ,Nitori Kawasiro
10092,黒石灰岩,Valefor,2026-08-06 16:09:08,300,2,NQ,Nitori Kawasiro
48096,フォーチュンカロット,Belias,2026-08-06 16:08:57,3100000,1,NQ,Chisa Seirios
48096,フォーチュンカロット,Belias,2026-08-06 16:08:56,3100000,1,NQ,Chisa Seirios
48096,フォーチュンカロット,Belias,2026-08-06 16:08:55,3100000,1,NQ,Chisa Seirios
48096,フォーチュンカロット,Belias,2026-08-06 16:08:54,3000000,1,NQ,Chisa Seirios
10092,黒石灰岩,Valefor,2026-08-06 16:08:46,99,13,NQ,Nitori Kawasiro
10092,黒石灰岩,Valefor,2026-08-06 16:08:45,100,26,NQ,Nitori Kawasiro
10,ウィンドクリスタル,Atomos,2026-08-06 16:08:28,48,1000,NQ,Chapu Chapu
10,ウィンドクリスタル,Atomos,2026-08-06 16:08:27,48,1000,NQ,Chapu Chapu
10,ウィンドクリスタル,Atomos,2026-08-06 16:08:26,48,1000,NQ,Chapu Chapu
10,ウィンドクリスタル,Atomos,2026-08-06 16:08:24,48,1000,NQ,Chapu Chapu
10,ウィンドクリスタル,Atomos,2026-08-06 16:08:22,48,1000,NQ,Chapu Chapu
9,アイスクリスタル,Atomos,2026-08-06 16:08:10,48,9999,NQ,Chapu Chapu
52440,ヘアカタログ:ブレイドバン,Ultima,2026-08-06 16:08:01,1400000,1,NQ,Mintgreen Rev
49832,クレセントマギ・ソーサラーネックレス,Bahamut,2026-08-06 16:07:46,18000000,1,NQ,Saho Leia
48096,フォーチュンカロット,Ixion,2026-08-06 16:07:38,3000000,1,NQ,Nilgiri Luft
48096,フォーチュンカロット,Ixion,2026-08-06 16:07:37,3000000,1,NQ,Nilgiri Luft
48096,フォーチュンカロット,Ixion,2026-08-06 16:07:36,3000000,1,NQ,Nilgiri Luft
52440,ヘアカタログ:ブレイドバン,Chocobo,2026-08-06 16:07:30,1440001,1,NQ,Mandrake Nakamura
16,ウィンドクラスター,Anima,2026-08-06 16:07:04,44,3000,NQ,Moon Presence
16,ウィンドクラスター,Anima,2026-08-06 16:07:03,43,2000,NQ,Moon Presence
16,ウィンドクラスター,Anima,2026-08-06 16:07:01,43,2000,NQ,Moon Presence
16,ウィンドクラスター,Anima,2026-08-06 16:07:00,43,2000,NQ,Moon Presence
41767,巨匠のハイオメガマテリジャ,Ridill,2026-08-06 16:06:38,10000,30,NQ,Libra Omega
48096,フォーチュンカロット,Pandaemonium,2026-08-06 16:06:23,3000000,3,NQ,Nilgiri Luft
46856,人造ダークマターβ,Durandal,2026-08-06 16:06:08,89896,1,NQ,Aria Black
5059,コバルトインゴット,Ramuh,2026-08-06 16:05:56,670,1,NQ,Nophica Lily
52440,ヘアカタログ:ブレイドバン,Gungnir,2026-08-06 16:05:53,1099900,1,NQ,Oisee Kobuta
52440,ヘアカタログ:ブレイドバン,Chocobo,2026-08-06 16:05:52,1440001,1,NQ,Irimo Faveur
52440,ヘアカタログ:ブレイドバン,Gungnir,2026-08-06 16:05:52,1099900,1,NQ,Oisee Kobuta
49827,クレセントマギ・ファイターネックレス,Pandaemonium,2026-08-06 16:05:51,31500000,1,NQ,Vanilla Milksmoothie
10373,魔導機械修理材,Valefor,2026-08-06 16:05:47,1590,99,NQ,Aldora Ura
50973,包丁研磨用オイル,Ixion,2026-08-06 16:05:32,15799,1,NQ,Sora Azure
50972,包丁強化用合金,Ixion,2026-08-06 16:05:17,19993,1,NQ,Sora Azure
50971,包丁強化用グリップ材,Ixion,2026-08-06 16:05:09,18999,1,NQ,Sora Azure
50971,包丁強化用グリップ材,Pandaemonium,2026-08-06 16:05:04,27444,1,NQ,Leaf Coremi
18,ライトニングクラスター,Anima,2026-08-06 16:05:03,20,1735,NQ,Moon Presence
50973,包丁研磨用オイル,Pandaemonium,2026-08-06 16:05:02,29900,1,NQ,Leaf Coremi
48096,フォーチュンカロット,Typhon,2026-08-06 16:04:59,2999999,1,NQ,Sayuki Kogane
48096,フォーチュンカロット,Typhon,2026-08-06 16:04:57,2999999,1,NQ,Sayuki Kogane
50972,包丁強化用合金,Fenrir,2026-08-06 16:04:56,35000,1,NQ,Lua Ciel
50972,包丁強化用合金,Pandaemonium,2026-08-06 16:04:56,23500,1,NQ,Leaf Coremi
48096,フォーチュンカロット,Typhon,2026-08-06 16:04:54,2999999,1,NQ,Sayuki Kogane
48096,フォーチュンカロット,Typhon,2026-08-06 16:04:52,2999999,1,NQ,Sayuki Kogane
48096,フォーチュンカロット,Typhon,2026-08-06 16:04:51,2999999,1,NQ,Sayuki Kogane
18,ライトニングクラスター,Anima,2026-08-06 16:04:51,6,1000,NQ,Moon Presence
18,ライトニングクラスター,Anima,2026-08-06 16:04:49,6,1000,NQ,Moon Presence
46855,人造ダークマターα,Fenrir,2026-08-06 16:04:48,133000,1,NQ,Lua Ciel
18,ライトニングクラスター,Anima,2026-08-06 16:04:48,5,2000,NQ,Moon Presence
50056,属性添加用金属材,Fenrir,2026-08-06 16:04:41,70000,1,NQ,Lua Ciel
50056,属性添加用金属材,Fenrir,2026-08-06 16:04:40,70000,1,NQ,Lua Ciel
46855,人造ダークマターα,Fenrir,2026-08-06 16:04:33,132000,1,NQ,Lua Ciel
52440,ヘアカタログ:ブレイドバン,Gungnir,2026-08-06 16:04:15,1099900,1,NQ,Oisee Kobuta
49220,活力の宝水G4,Tonberry,2026-08-06 16:04:03,7500,1,HQ,Jun Yuno
44033,サンダーヤードシルク,Valefor,2026-08-06 16:03:54,693,1,NQ,Ram Avagnar
44033,サンダーヤードシルク,Valefor,2026-08-06 16:03:52,650,1,NQ,Ram Avagnar
44033,サンダーヤードシルク,Valefor,2026-08-06 16:03:51,640,1,NQ,Ram Avagnar
44071,タンブルクラブの枯草,Tonberry,2026-08-06 16:03:20,230,39,NQ,Kuronami Shimizu
5671,武略のマテリダ,Ramuh,2026-08-06 16:03:17,99,18,NQ,Rin Ri
50973,包丁研磨用オイル,Masamune,2026-08-06 16:03:14,29000,1,NQ,Kou Hegemone
50972,包丁強化用合金,Masamune,2026-08-06 16:03:11,12500,1,NQ,Kou Hegemone
50971,包丁強化用グリップ材,Masamune,2026-08-06 16:03:05,27000,1,NQ,Kou Hegemone
46185,古ぼけた地図G18,Ixion,2026-08-06 16:03:01,4701,1,NQ,Theo Felix
49257,コートリーラヴァー・コーデックス,Pandaemonium,2026-08-06 16:02:56,149952,1,HQ,Roselia Rouge
46185,古ぼけた地図G18,Ixion,2026-08-06 16:02:50,4563,1,NQ,Theo Felix
41767,巨匠のハイオメガマテリジャ,Ridill,2026-08-06 16:02:46,9700,63,NQ,Libra Omega
44033,サンダーヤードシルク,Fenrir,2026-08-06 16:01:44,800,1,NQ,Leon Ignicalm
44033,サンダーヤードシルク,Fenrir,2026-08-06 16:01:41,799,1,NQ,Leon Ignicalm
46246,紫電の霊砂,Tonberry,2026-08-06 16:01:20,1700,99,NQ,Kuronami Shimizu
52295,演技教本:後ろを振り返る,Fenrir,2026-08-06 16:01:05,1499940,1,NQ,Nana Kurose
49257,コートリーラヴァー・コーデックス,Pandaemonium,2026-08-06 16:01:03,149845,1,HQ,Nepi Tepes
5530,コークス,Asura,2026-08-06 16:01:03,185,99,NQ,Lios Stiarna
5530,コークス,Asura,2026-08-06 16:01:02,185,99,NQ,Lios Stiarna
5530,コークス,Asura,2026-08-06 16:01:00,185,99,NQ,Lios Stiarna
5530,コークス,Asura,2026-08-06 16:00:59,185,99,NQ,Lios Stiarna
5530,コークス,Asura,2026-08-06 16:00:58,185,99,NQ,Lios Stiarna
46185,古ぼけた地図G18,Kujata,2026-08-06 16:00:46,20000,1,NQ,Ella Irryasch
44034,ヤクテル天然水,Tonberry,2026-08-06 16:00:46,180,99,NQ,Kuronami Shimizu
46185,古ぼけた地図G18,Kujata,2026-08-06 16:00:26,20000,1,NQ,Ella Irryasch
44071,タンブルクラブの枯草,Tonberry,2026-08-06 16:00:23,229,99,NQ,Kuronami Shimizu
46185,古ぼけた地図G18,Ixion,2026-08-06 16:00:19,4500,1,NQ,Theo Felix
46185,古ぼけた地図G18,Ixion,2026-08-06 16:00:09,4420,1,NQ,Theo Felix
16703,ヘアカタログ:ロングヘア,Ixion,2026-08-06 16:00:07,39001,1,NQ,Luca Garcia
46185,古ぼけた地図G18,Kujata,2026-08-06 16:00:05,20000,1,NQ,Ella Irryasch
44001,カザナルインゴット,Titan,2026-08-06 16:00:00,212,1,NQ,Maro Koma
44001,カザナルインゴット,Titan,2026-08-06 15:59:59,190,1,NQ,Maro Koma
49296,コートリーラヴァー・ヒーラーフード,Pandaemonium,2026-08-06 15:59:48,1,1,HQ,Nepi Tepes
49298,コートリーラヴァー・ヒーラーグローブ,Pandaemonium,2026-08-06 15:59:48,1,1,HQ,Nepi Tepes
49300,コートリーラヴァー・ヒーラーシューズ,Pandaemonium,2026-08-06 15:59:48,1,1,HQ,Nepi Tepes
49299,コートリーラヴァー・ヒーラーパンタロン,Pandaemonium,2026-08-06 15:59:48,1,1,HQ,Nepi Tepes
44001,カザナルインゴット,Titan,2026-08-06 15:59:41,189,1,NQ,Maro Koma
52440,ヘアカタログ:ブレイドバン,Gungnir,2026-08-06 15:59:39,1099900,1,NQ,Lucas Clement
5530,コークス,Carbuncle,2026-08-06 15:59:34,207,99,NQ,Diamant Zaandam
5530,コークス,Carbuncle,2026-08-06 15:59:33,207,99,NQ,Diamant Zaandam
5530,コークス,Carbuncle,2026-08-06 15:59:32,207,99,NQ,Diamant Zaandam
5530,コークス,Carbuncle,2026-08-06 15:59:30,207,99,NQ,Diamant Zaandam
52440,ヘアカタログ:ブレイドバン,Gungnir,2026-08-06 15:59:28,1099900,1,NQ,Lucas Clement
5530,コークス,Carbuncle,2026-08-06 15:59:27,207,99,NQ,Diamant Zaandam
49220,活力の宝水G4,Typhon,2026-08-06 15:58:18,4500,3,HQ,Jun Yuno
49220,活力の宝水G4,Typhon,2026-08-06 15:58:15,3000,1,HQ,Jun Yuno
52440,ヘアカタログ:ブレイドバン,Hades,2026-08-06 15:57:49,1364500,1,NQ,Matango Matango
43982,高山岩塩,Pandaemonium,2026-08-06 15:57:43,147,99,NQ,Zia Yuriel
5532,樹液塊,Carbuncle,2026-08-06 15:57:26,180,99,NQ,Diamant Zaandam
5532,樹液塊,Carbuncle,2026-08-06 15:57:25,180,99,NQ,Diamant Zaandam
5532,樹液塊,Carbuncle,2026-08-06 15:57:24,180,99,NQ,Diamant Zaandam
5532,樹液塊,Carbuncle,2026-08-06 15:57:23,180,99,NQ,Diamant Zaandam
5532,樹液塊,Carbuncle,2026-08-06 15:57:22,180,99,NQ,Diamant Zaandam
10373,魔導機械修理材,Alexander,2026-08-06 15:56:56,1609,99,NQ,Vaalmonica Rancierda
10373,魔導機械修理材,Alexander,2026-08-06 15:56:55,1609,99,NQ,Vaalmonica Rancierda
49228,イヨラエキス,Pandaemonium,2026-08-06 15:56:53,2800,95,NQ,Zia Yuriel
49228,イヨラエキス,Pandaemonium,2026-08-06 15:56:49,2800,99,NQ,Zia Yuriel
46246,紫電の霊砂,Pandaemonium,2026-08-06 15:56:43,2800,97,NQ,Zia Yuriel
50292,ストーリーラヴァー・クローク,Ixion,2026-08-06 15:56:42,510800,1,NQ,Iria Sky
46246,紫電の霊砂,Pandaemonium,2026-08-06 15:56:41,2799,99,NQ,Zia Yuriel
46185,古ぼけた地図G18,Ixion,2026-08-06 15:56:19,4500,1,NQ,Theo Felix
52440,ヘアカタログ:ブレイドバン,Tonberry,2026-08-06 15:56:11,1099888,1,NQ,Leo Sora
50971,包丁強化用グリップ材,Fenrir,2026-08-06 15:56:06,19300,1,NQ,Lua Ciel
50971,包丁強化用グリップ材,Fenrir,2026-08-06 15:56:05,19300,1,NQ,Lua Ciel
50971,包丁強化用グリップ材,Fenrir,2026-08-06 15:56:04,19300,1,NQ,Lua Ciel
50055,属性添加用部材,Fenrir,2026-08-06 15:55:53,176000,1,NQ,Lua Ciel
46856,人造ダークマターβ,Fenrir,2026-08-06 15:55:45,146900,1,NQ,Lua Ciel
46856,人造ダークマターβ,Fenrir,2026-08-06 15:55:43,145900,1,NQ,Lua Ciel
46856,人造ダークマターβ,Fenrir,2026-08-06 15:55:42,145900,1,NQ,Lua Ciel
46856,人造ダークマターβ,Fenrir,2026-08-06 15:55:41,130000,1,NQ,Lua Ciel
52295,演技教本:後ろを振り返る,Belias,2026-08-06 15:55:39,1799000,1,NQ,Row Ty
43557,古ぼけた地図G17,Ixion,2026-08-06 15:55:33,4000,1,NQ,Aske Lamperouge
41767,巨匠のハイオメガマテリジャ,Ridill,2026-08-06 15:55:24,10000,30,NQ,Libra Omega
43982,高山岩塩,Hades,2026-08-06 15:55:15,100,99,NQ,Aria Citron
27712,チタンブロンズナゲット,Tonberry,2026-08-06 15:55:06,200,1,HQ,Tama Roas
27712,チタンブロンズナゲット,Tonberry,2026-08-06 15:55:05,200,1,NQ,Tama Roas
